text;time
most likely got my attention:  iram launcher and munitions that seized by is in duwwah, #homs  they can copy these. https://t.co/enjekcg1mu; 2/10/2016
@jazrawi_aden reminds me on tabqa massacre. live targets for the lions.; 2/10/2016
inghimasi is playing the keyrole in every is operations, which something kuffar and murtadeen would never dare to do that.; 2/10/2016
once, minnigh saw the sacrifices of brothers, before the bloody treachery.  here's what happened now.  https://t.co/4msl23focx; 2/10/2016
@nasereldawla yep. and this brother is also martyred in minnigh offensive. https://t.co/71i2cgagvu; 2/10/2016
o rebels!  have you see what your leaders decision brings you to what state today?  the path of destruction and humiliations.; 2/10/2016
o rebels!  have your brothers warns you to abandon the democracy way for it only bring you suffer?; 2/10/2016
o rebels!  have you see that the only way for you to have dignity and victory is only by jihaad for the sake of allah?; 2/10/2016
rt @mustafaklash45: gif: "mapping is attacks 2015 by al jazeera."  egypt, sinai very active. https://t.co/h0a6xcza7z; 2/10/2016
rt @qassami_marwan: isis facts: an isis supporter is born every 29 minutes in the world.; 2/10/2016
t72 tank recently hit by isis forces in north #baghdad area of tharthar. https://t.co/epfduwbpuy; 2/10/2016
#wow interesting reports revealing all shia militias from #iraq to #lebanon are funded by #israel and #usa; 2/10/2016
here is shia militias group #kataib_hizbula made by iran sponsored by america and israel.. using amarican abraham... https://t.co/1taawklsom; 2/10/2016
20k #irani militiamen lost their lives from 2014 to 2015 only in #iraq revealed by their own war minister..; 2/10/2016
for your information   pic is from 2004 .. #shia_militiaman beheading sunni civilians in the presence #usa... https://t.co/cpc99t3kpc; 2/10/2016
@ragipsoylu because #usa want to create new #israel in middle-east; 2/10/2016
another iranian made militia sponsored by america and israel.. using amarican abraham tank https://t.co/vu0svzlxne; 2/10/2016
@pachaconsumer link please; 2/10/2016
@jazrawi_aden send me link ya akhi; 2/10/2016
@jazrawi_aden @vivarevolt yes its about time or it will be the end of them soon; 2/10/2016
rt @mountzzz_noz22: i've seen adulterers and obscene sodomites and drug addicts hate is, do you know why?,bqz they hate sharia of allah htt…; 2/10/2016
rt @lovelyflower212: we should not sugarcoat islam to please the masses. on the contrary, a lot of kuffar are drawn to it due to its justic…; 2/10/2016
rt @lovelyflower212: and who else but munafiqun would plot against their supposed brothers and sisters?; 2/10/2016
rt @lovelyflower212: if shahadah is only on your tongue, but your actions prove the opposite, is it even valid? allahu alam.; 2/10/2016
rt @lovelyflower212: these people r a group of risk. with such aqidah they can fail u any moment. don't  trust moderate muslims, they r  mo…; 2/10/2016
king of #jordan #israely puppet https://t.co/aljagmrw06; 2/10/2016
#saudi king puppet of #amarica https://t.co/q94b6og4o0; 2/10/2016
#uae kings with whores .. https://t.co/s1xqbvuofd; 2/10/2016
#egyptian #sisi #israely puppet https://t.co/zmswtnvnh2; 2/10/2016
this is what whn #usa fucks you from behind and you still suck their dicks.  https://t.co/iqwqoostgq; 2/10/2016
💨💨💨 #fsa die in your kurdish laps. now enjoy https://t.co/mzjbxibpga; 2/10/2016
apparently the gay couldn't live in iraq, since he must have thought is will come &amp; throw him from a building.; 2/10/2016
#isis use ballons as drones. caught yesterday by peshmerga militants near erbil. https://t.co/jdwxrhlw1r; 2/10/2016
@alqatil26 though these shias are not muslims but since they have muslim names, they do give a bad name to muslims; 2/10/2016
if ever you thought us or west would topple assad regime or help in toppling him anyway, you were fooled.; 2/10/2016
@sheikhkerry thats so true cheikh; 2/10/2016
and if you still think they'll help you anyway against assad, you're grossly deluded.; 2/10/2016
king of bahrain #usa puppet https://t.co/q6wor8dlfh; 2/10/2016
an intelligent &amp; sane muslim should have known by neccesity us will not help you except by using you for their own interests.; 2/10/2016
the interest they had in syria was to prevent the rise of an islamic caliphate, they'd have used shia for the purpose &amp; supported them,; 2/10/2016
but they got natural puppets from sunnis, the rebels, so they used them to cause disunity between iraqi &amp; syrian jehad.; 2/10/2016
rt @nidalgazaui: #breaking 11 iraqi soldiers killed and 17 injured after #isis assault on army barracks on the outskirts of #fallujah.; 2/10/2016
once fsa &amp; ypg used to fight together under us against is, but ypg prostitutes got another partner russia, so they started attacking fsa.; 2/10/2016
and fsa prostitutes have been abondoned by their partners and left to death.; 2/10/2016
should be breaking: tens of #iraq army-men killed in #isis assaults west of #ramadi .tanks, vehicles destructions https://t.co/dg22dcj30j; 2/10/2016
true reflection of arab regimes https://t.co/rvhuh7rp0d; 2/10/2016
pakistan always come up with this : they drop a "lekh" for a "maha lekh". shahzad aunty finally out but in comes dhadi khuram manzoor.; 2/10/2016
@fullfilth but sunnis never learn; 2/10/2016
islamic state captures rusafah district in deir ezzor after heavy clashes with saa.; 2/10/2016
turkey pm erdogan always sheds crocodile tears for palestinian and syrian civilians. but do nothing https://t.co/c6ix88iljm; 2/10/2016
rt @eliothiggins: footage shows a mosque bombed in hayyan, syria, are these russia's guided bombs? https://t.co/cstkv28pcr #putinatwar http…; 2/10/2016
rt @alhamdhulillaah: allah does not like corruption #quran 2:205; 2/10/2016
erdogan just realized that he was a useless rubbish that only be used by us.  same thing will happened to pkk/pyd https://t.co/drbof7kssy; 2/10/2016
rt @pachaconsumer: mohammad hasan khalil al-hakim (ra) &amp;abu mus'ab al-souri were the men who changed the jihadi movement, read their books&amp;…; 2/10/2016
rt @pachaconsumer: #fsa groups handed over mengh airport to heretic kurds without any real resistance   https://t.co/enakpj4kzc; 2/10/2016
@nidalgazaui @weaboisneet latest release from north baghdad shown the reality - they just fled in humiliation. https://t.co/j0h3haowkv; 2/10/2016
#wewantahmadshahzadback lol ahmad shahzad fan girls are enraged as aunty is dropped from world cup squad. pakistan ki khair ho.; 2/10/2016
@weaboisneet remember the kuffs interview abt protecting rafida area from being taken by is?; 2/10/2016
@noutankibaaz i don't mean khuram is any better, he's maha shit; 2/10/2016
rt @iraqismcen: anbar: news sources: an attack has targeted the government forces west of ramadi resulted in 25 deaths of elements......; 2/10/2016
let's see if this taghut will send his airforce etc. to defend halab... https://t.co/lvkwe08o8p; 2/10/2016
@weaboisneet loool akhi. :); 2/10/2016
refreshing your memories on how fierce the minnigh offensive by islamic state before the bloody treachery https://t.co/l2dkeuv7go; 2/10/2016
@fidaee_fulaani the offensive ended with cries of takbir and rising the flag of tawheed https://t.co/1rxbbrtfxo; 2/10/2016
@monitorwar search for "flames of war"; 2/10/2016
@noutankibaaz what they see in assad shafiq to play him in odis; 2/10/2016
@noutankibaaz lol no way man, he's pathetic in odis avg 25 sr 65,; 2/10/2016
@ibnayyub1_ done. :); 2/10/2016
@monitorwar @__aldente__ @fidaee_fulaani indeed.sahawat never learnt and doing the same mistakes that led them for humiliation, once again.; 2/10/2016
i know lot's of brother felt sad for the fall of minnigh to heretic pkk/pyd..  sacrifices of brothers that led to the rise of khilafah.; 2/10/2016
rt @mustafaklash45: what does it mean that the arrogant, the disobedient to parents, the dayoth, drunkard etc will not enter jannah?  it me…; 2/10/2016
rt @mustafaklash45: = enter jannah with the rest on yawm al qiyamah.  they'll be punished in jahannam for however long allah swt decides &amp; …; 2/10/2016
two t72 #syria army tanks destroyed in #kweires base vicinity hit by kornet power rockets.; 2/10/2016
@ibnayyub1_ your "eccentric toad" name reminds me to this guy :) https://t.co/k5f5zt4d6i; 2/10/2016
rt @mustafaklash45: = i.e he has not associated anyone with allah he will enter jannah. and that is the meaning of the hadith "no one will …; 2/10/2016
rt @mustafaklash45: = in whose heart is an atom’s weight of faith"  and allahu subhanahu wa ta'ala knows best.; 2/10/2016
@noutankibaaz i know. i remember how he used to leave herath only to be clean bold; 2/10/2016
@noutankibaaz i hope he doesn't make it to playing 11; 2/10/2016
@troyblayne @conflicts @alarabiya_eng you ppl still don't understand with trump or without trump they are all the same one agenda.; 2/10/2016
#libya: #belgian of #moroccan  origins beheaded for espionage in sirte.; 2/10/2016
@troyblayne @conflicts @alarabiya_eng ppl in the us don't want trump he is racist and never forget israel is the boss of us; 2/10/2016
rt @snraja_: #kashmir the paradise on earth https://t.co/hnnnxidkgf; 2/10/2016
how us &amp; west played with syrian rebels &amp; finally abandoned them to die under russian strikes &amp; shia assault. https://t.co/1on1qzerlf; 2/10/2016
rt @thefunnyworid: england has no kidney bank,  but it does have a liverpool.; 2/10/2016
alhayat media presented top 10 combat stories n video graphics. https://t.co/zxvhh8iqsh combination 4m #syria #iraq https://t.co/vfwqsinak2; 2/10/2016
tena f rival elements killed, mechanisms destroyed in east #haditha #iraq https://t.co/xxya8lfjnn; 2/10/2016
#poland is joining the #usa-led coalition against #isis.. #syria #iraq; 2/10/2016
only a coward and dumbass captain from pakistan would drop chris gayle. azhar ali, pure retard. #pslt20; 2/10/2016
one good innings at one down by umar akmal and suddenly azhar ali feels his odi place is under threat from umar akmal. #pslt20; 2/10/2016
ye isliye taraqi nhi krtey, kyunki ye manhoos khud garaz hotey.; 2/10/2016
#saudi king to visit #moscow next month.. #russia; 2/10/2016
#iran irgc colonel saadat khah kia in #syria https://t.co/r0ly7yty1z; 2/10/2016
the #iraq|i army drone downed by #isis ground defenses yesterday near #daquq.. #kirkuk https://t.co/f8ma6k2kil; 2/10/2016
to thank putin for killing kids? saudi king salman to visit moscow in mid-march - kremlin aide https://t.co/z5xlejob3l via @tr_foundation; 2/10/2016
@bedouin127 true.; 2/10/2016
rt @ibn_muhammed_: ibn taymiyāh said:  ❝fitnah continues upon the heart, except if the deen of the slave is completely for allaah.❞  •[al-f…; 2/10/2016
rt @khaama: first batch of military aid to afghan forces in near future: russian ambassador https://t.co/x8nhx3iej0 https://t.co/xu5qtzvc5k; 2/10/2016
@dawlatemohamedi videos r frm fresh past and random download sources usually "archieve" .its just filtered ones.; 2/10/2016
rt @uncle_samcoco: "the great evil"  is helping "the  axis of evil", it seems logical ...  https://t.co/kwfrubd5zf; 2/10/2016
rt @ramiallolah: #usa extended their support to the unstoppable sectarian shiite militias in #iraq with multiple m1 abrams tanks.. https://…; 2/10/2016
rt @whoamidude: @ramiallolah us is fooling them selling version without armour, tanks are sitting ducks; 2/10/2016
@didyouknowvs @ramiallolah doubt is will be able to keep them in working condition. they are a nightmare for experienced us army mechanics.; 2/10/2016
grad rockets looks beautiful when weather is cloudy and time is evening. #haditha latest. #isis #iraq https://t.co/kcz8loxwtu; 2/10/2016
rt @uncle_samcoco: al furat media confim by video the death of abu anas al-muhajir amir of katiba ansar shariah which joined is  https://t.…; 2/10/2016
rt @jihadology_net: new issue of anṣār al-sharī’ah in the arabian peninsula’s newspaper: “al-masrā #4″ https://t.co/7teub76b7t https://t.co…; 2/10/2016
#isis claims responsibility of blowing up a car bomb near an #iraq|i police patrol inside #kirkuk a while ago.. https://t.co/gxtclm6jgb; 2/10/2016
rt @green_lemonnn: #syria exclusive pic of an #iriaf c-130 in damascus ia transporting irgc &amp; badr fighters to aleppo front. nov 2015 https…; 2/10/2016
@jazrawi_aden jazahoum allah ghir; 2/10/2016
tawassul   https://t.co/tujfodvibs; 2/10/2016
https://t.co/woxqvyrqw5; 2/10/2016
@qannas_ @mankhalfahum @youtube i understand dutch so no problem akhi; 2/10/2016
https://t.co/xcqe9onnl6; 2/10/2016
https://t.co/z4r7quuuqs; 2/10/2016
sharjeel khan : 3 intl t20s, 102 runs, 34 avg, sr 140, 24 ball 50, very good vs spin. clearly a much better option than khuram manzoor.; 2/10/2016
#is #amaqnewsagency  #wilayathims  #video seizure of vehicle trying to smuggle cigarettes to territory controlled by the #is in #homs 1/2; 2/10/2016
@battar_english  2/2  https://t.co/bopc0esfma; 2/10/2016
watson is so angry of dubai pitch, he wants to all dulai in sharjah.; 2/10/2016
rt @striv3r_: minister of state for foreign affairs, #uae, why this ground force should be commanded by u.s  https://t.co/rnrnoewlik; 2/10/2016
#isis video; theme wz featured n past wd a uk child who nw blown up spies &amp; challenges cameron.https://t.co/ihpshhgvtw; 2/10/2016
he is undoubtedly true. hypocrite #afg taliban always played like whores in hands of na-pakistan.  https://t.co/xuhra5saeg; 2/10/2016
😍😍😍😍😍😍😍😍😍😍 https://t.co/tafbutymez; 2/10/2016
rt @altarefe_en: 2/2 the best #dhikr in the late night (before fajr) is #istighfar and the best dhikr in the morning and evening is #tasbih.; 2/10/2016
@raqqa_sl are you a fan of western women being naked like whores and western men raping them like animals with no shame; 2/10/2016
ahmad ki deewani, ahmad ki pari, shahzad ki shahzadi, shahzad ki raani - all having a tough sleep tonight. #wewantahmadshahzadback; 2/10/2016
#isis performs better when using the #usa-made tow atgm in west #kuweires air-base battles.. #syria https://t.co/gnmabpoigj; 2/10/2016
@ibnayyub1_ sure; 2/10/2016
rt @wayf44rer__: #aleppo : reports #is destroyed convoy of pro-regime militants, heading to north #aleppo, which included badr and harakat …; 2/10/2016
from #germany #cologne: tyrants of this world.. #assad #putin #russia #syria https://t.co/szwgegzgpu; 2/10/2016
big! #breakingnews #turkey army entered ~500m deep into #syria|n territories through #qahtaniyah border town in #hasakah governorate..; 2/10/2016
rt @ibnhernan: we say bi'ithnillah. saudi says bi'ithnil-amreeka https://t.co/sp3daovvnr; 2/10/2016
remember the kid from #uk in #isis video? he executed 3 spies in a new video by blowing them up inside a car #syria https://t.co/x2jwswz0sm; 2/10/2016
rt @wayf44rer__: بسم الله; 2/10/2016
enemies of allah met their end in tragic way, the same they aid the kuffar and murtadeen https://t.co/jkyibv5t8g; 2/10/2016
adoomies angered for their idols denied to make umrah, and his fans want to do it too with him  (1); 2/10/2016
@fidaee_fulaani i don't back salool for this, but as for logic, where's the barakah of umrah when you do it because an idol do it too?; 2/10/2016
rt @_salmanhashimi: shi'a looking for the hidden mehdi like: https://t.co/3cchwxqnj3; 2/10/2016
rt @qassami_marwan: when islamic state videos are banned in your nusra base but you try to find the video anyway: https://t.co/vxxleo9sls; 2/10/2016
#russia|n intervention in #syria has a bright side though.. https://t.co/bdm7rbzoij; 2/10/2016
a close relative of me it is, khayr in sha allah; 2/10/2016
a'maq news: destruction of egyptian armoured vehicle (ypr/m113) near al-jurah cp south of sheikh zuweid https://t.co/goiccwmie1; 2/10/2016
@fidaee_fulaani the mentioned vehicle was targeted by ied; 2/10/2016
rt @abraxasspa: well well well... #turkey #syria  https://t.co/o8cpiv0eqs; 2/10/2016
whomever reaches #turkey borders first #ypg or saa will determine turkey's next move in #syria. turkey favors #assad; maybe #usa too..; 2/10/2016
rt @sakirkhader: #syria: at least 15 civilians killed, tens wounded in today's #russia|n airstrikes on #aleppo|s al-salihin neighb. https:/…; 2/10/2016
rt @petertatchell: in january #russia was the biggest killer of #syria civilians #supportsyrians @biancajagger @purna_sen @ishrglobal https…; 2/10/2016
rt @ajenews: ceasefire talk as 50,000 syrians flee aleppo fighting https://t.co/pabasazhzl https://t.co/jqy68ab6a1; 2/10/2016
rt @ramiallolah: big! #breakingnews #turkey army entered ~500m deep into #syria|n territories through #qahtaniyah border town in #hasakah g…; 2/10/2016
rt @ramiallolah: #russia|n intervention in #syria has a bright side though.. https://t.co/bdm7rbzoij; 2/10/2016
rt @ramiallolah: from #germany #cologne: tyrants of this world.. #assad #putin #russia #syria https://t.co/szwgegzgpu; 2/10/2016
rt @ramiallolah: #isis performs better when using the #usa-made tow atgm in west #kuweires air-base battles.. #syria https://t.co/gnmabpoigj; 2/10/2016
rt @ramiallolah: #isis claims responsibility of blowing up a car bomb near an #iraq|i police patrol inside #kirkuk a while ago.. https://t.…; 2/10/2016
rt @ramiallolah: the #iraq|i army drone downed by #isis ground defenses yesterday near #daquq.. #kirkuk https://t.co/f8ma6k2kil; 2/10/2016
rt @ramiallolah: #iran irgc colonel saadat khah kia in #syria https://t.co/r0ly7yty1z; 2/10/2016
rt @ramiallolah: #saudi king to visit #moscow next month.. #russia; 2/10/2016
rt @ramiallolah: unconfirmed reports fascist terror group #ypg has captured menagh airbase after heavy #russia|n bombardment.. #azaz #syria…; 2/10/2016
rt @ramiallolah: #isis reportedly shot down a drone near #daquq.. #kirkuk #iraq; 2/10/2016
@jazrawi_aden however mullah umar was never like them, he is an honest man.; 2/10/2016
rt @ivansidorenko1: #syria #jabhatalnusra #alnusra #jan #jn statement saying there is no illegal relationship btw @carolmalouf &amp; golani htt…; 2/10/2016
face of terror: #isis release new video shows how a child blowing up 3 spies inside a car in #raqqa province #syria.; 2/10/2016
peshmerga solider reading the holy qur'an before attacking isis positions. https://t.co/pwp29142kn; 2/10/2016
rt @wayf44rer__: #anbar : lieutenant yassin abdul jabbar al-fahdawi killed in al-jowiba area, east of #ramadi https://t.co/bjdlilmmfr; 2/10/2016
rt @wayf44rer__: #aleppo : aftermath of warplanes flying over #manbij and al-#bab today https://t.co/5oabq12m1q; 2/10/2016
rt @wayf44rer__: #homs : #palmyra was targeted with cluster bombs today, mostly all landed near the arc de triomphe and the roman theater; 2/10/2016
rt @wayf44rer__: #homs : civilian home destroyed by air raids on #palmyra https://t.co/w7hfjtzka5; 2/10/2016
rt @wayf44rer__: large number of displaced refugees arrived to #raqqa, deir ez-zor and eastern aleppo countryside yesterday; 2/10/2016
rt @wayf44rer__: #aleppo : 3 regime tanks destroyed today near tel maksur village with atmgs, west of kuwayris air-base; 2/10/2016
rt @nusantarwitness: amaq agency: dozens of sahawat killed &amp; wounded by #is attack in western anbar #iraq; 2/10/2016
#isis terrorgroup allows a child to blow up 3 spies inside a car in raqqa province #syria.; 2/10/2016
rt @alwasatengnews: source: dozens of family fled #sirte on tuesday in expectation of military action against #isis in the city. #libya htt…; 2/10/2016
rt @ismailmahsud: reports: reinforcement of 14 vehicle convoy entered #sirte #libya most of them are sudanese tunesian. #isis #isismission; 2/10/2016
rt @ctstudies: #libya earlier today,da'ish released pictures of a training camp (muaskar) near #sirte named "abu hamza al-muhajir" https://…; 2/10/2016
rt @ctstudies: #libya da'ish also published two pics from #sirte sometimes they publish these "postcard" shots https://t.co/bcvaoptyib; 2/10/2016
rt @zaidbenjamin: #egypt | #isil militants in a training at "abu hajer al-masri base" in #sinai. https://t.co/ieoh9amqzk; 2/10/2016
rt @michaelh992: this is the first time i see pictures of a training camp in #sinai, suggest #isis can operate it in broad daylight despite…; 2/10/2016
rt @news_executive: breaking: two harford county, maryland deputies involved in a shooting have died after a gunman opened fire on them, gu…; 2/10/2016
#breakingnews #turkey army has established an army post ~600m deep into #syria|n lands from tell jahan declaring it a closed military zone..; 2/10/2016
map of #syria ... 2012  65% of #syria was under fsa controll... https://t.co/xk1g1jn7n1; 2/10/2016
#breakingnews #turkey army tells locals the aim of establishing the new army post ~600m inside #syria is for anti-smuggling purposes only..; 2/10/2016
rt @joshua_landis: intel chiefs: saudi, uae ground troops unlikely to help against isis https://t.co/8spjsd7xbi; 2/11/2016
@foreignpolicy wow, and people thought jews are genious, it's you stupids who can't pronounce it; 2/11/2016
@9a9b3a710bfb47e @altarefe_en subhanallah, alhamdulillah, allah u akbar; 2/11/2016
rt @saraassaf: at this pace, bashar al assad will soon rule syria democratically, after all the sunnis would be gone &amp; alawis become the ma…; 2/11/2016
both the names are trending. if u go through tweets of individuals you see westerners feels them - "they r coming". https://t.co/pro0n25gb2; 2/11/2016
#ialwaysgetannoyedwhen pcb decides to come up with people like khuram manzoor.; 2/11/2016
rt @khalidi_4_sham: bahraini foreign minister calls on all nations to help russia in syria to "establish security" https://t.co/t4kc68dyk7; 2/11/2016
reports of heavy clashes bw #pakistan backed afg taliban and pro #isis elements in nangahara #afghanistan. 6 killed 10 wounded.; 2/11/2016
rt @almunajjid_en: 1/3 if you discover that you made a mistake in the exam after you have left the room, then do not say: "if i would have …; 2/11/2016
rt @almunajjid_en: 2/3 then the result would have been such and such’; rather, you should say: ‘this was decreed by allaah and allaah does …; 2/11/2016
rt @almunajjid_en: 3/3 saying ‘if’ opens the gate for satan." make up in the remaining exams by exerting more effort and studying harder.; 2/11/2016
taliban atrocities and they have the nerve to call islamic state barbaric https://t.co/a38cicfz4r; 2/11/2016
taliban (yes afghan) atrocities on civillians, and they have the nerve to call islamic state barbaric https://t.co/a38cicfz4r; 2/11/2016
british news paper did conduct secret interviews of mosul residents after islamic state conquered it &amp; established khilafah.; 2/11/2016
most people praised is because they had lived under rafidhi oppression, and those who were pro-shariah were very happy.; 2/11/2016
only modernists who wanted to enjoy life opposed is rule.; 2/11/2016
@noutankibaaz no i'd call it propaganda to defame taliban otherwise, but i only shared &amp; endorsed it for aq, taliban supporters; 2/11/2016
@noutankibaaz who are obsessed with calling is barbaric, extremists, khawarij, dogs of hellfire etc etc.; 2/11/2016
@noutankibaaz as for killing innocent muslim civillians, thats wrong no matter who does it.; 2/11/2016
here is the interview guardian conducted of mosul residents after is conquered it   https://t.co/xmbzqyhoey…; 2/11/2016
rt @shashitharoor: amused that trolls who have gone haywire since this morning have no idea that rss'khaki shorts were inspired by the ital…; 2/11/2016
unfortunately its outdated; 2/11/2016
when a fish fly high off the water it hits the ground or embrace a trap same is #ypg doing. end is near if rebels... https://t.co/6jrgtmq21q; 2/11/2016
aajel: #kirkuk "state" detonated explosive laden vehicle cloz to the checkpoint f rival #kurds killing &amp; wounding ++ https://t.co/gpg4gzybwz; 2/11/2016
ہوا پیتے ہیں یا کھاتے ہیں ؟; 2/11/2016
world peace versus saudi national security https://t.co/nr9a9smrzw via @alarabiya_eng; 2/11/2016
@jazrawi_aden exactly; 2/11/2016
@aadawii21 i have already explained, i'd call it propaganda to defame taliban otherwise, but i only shared it for aq, taliban supporters; 2/11/2016
@aadawii21 who are obsessed with calling is barbaric, extremists, khawarij, dogs of hellfire etc etc; 2/11/2016
saudi king salman to visit moscow in mid-march: ria cites kremlin aide https://t.co/tbkahi7c6p via @reuters; 2/11/2016
is there any criminal, murderer of muslim ummah, the righteous &amp; just ruler, salman bin abdul aziz, is yet to shake his hands with?; 2/11/2016
rt @altarefe_en: 1/2 whoever possesses the ability to aid the oppressed but holds back, allah will hold him accountable according to the am…; 2/11/2016
rt @altarefe_en: 2/2 he was able to remove but abandoned because he is a partner in oppression, and oppression can be by abandoning just li…; 2/11/2016
@altarefe_en abandoning oppressed is one thing but aiding the oppressor instead is what every arab ruler is doing; 2/11/2016
according to us intel chiefs,saudi,uae ground troops does not have the  capability to fight against  islamic state.https://t.co/cgmqqkphg5; 2/11/2016
@aadawii21 whether you do it off the scenes or you make videos of it, doesn't make any difference; 2/11/2016
isis video 'shows british child blowing up car with prisoners inside' https://t.co/tz2fbzitsp; 2/11/2016
west is not shocked or ashamed when their planes, drones, bombs &amp; soldiers murder thousands &amp; thousands of muslim children.; 2/11/2016
but is shocked when a muslim child choses arms to fight western aggression on muslims.; 2/11/2016
@aadawii21 if those who're being killed deserve death, then its no extremism whether done on or off scenes &amp; vice-versa; 2/11/2016
how often allaah, the most merciful, wants to favour us, but because of our narrow vision &amp; limited knowledge, we see it as a calamity.; 2/11/2016
what is different between shiaa and jews zionism?; 2/11/2016
us secretory of state john kerry came close to revealing his true thoughts when he was accosted by 2 syria aid works https://t.co/nlt9hd2ivt; 2/11/2016
ypg using us provided weapons against syrian rebels under russian air support.; 2/11/2016
fact about syria : everyone wants to use everyone against everyone else except is, they don't let anyone use them, they don't trust anyone.; 2/11/2016
even turkey, saudi arabia, &amp; qatar don't want to save rebels at this tough time, leave alone us and west. never trust anyone besides allaah.; 2/11/2016
rt @green_lemonnn: #pt female kurdish fighter driving t-72 mbt w/ slate armor, us provided m2 used against rebels, ruaf air support. https:…; 2/11/2016
rt @sheikhkerry: our soldiers show more bravery when raping little girl/boy.but when they face enemy they'll cry like little girl.smh https…; 2/11/2016
rt @intlspectator: breaking: turkish president erdogan says his country's patience is running out on syria, and will do what is 'necessary'.; 2/11/2016
rt @akhi_wal_bara: the mufti of murji'ah twitter vs a scholar. https://t.co/kh6u7dvmqe; 2/11/2016
a true scholar when he sees a problem in ummah doesn't say, "if you had done this, it wouldn't have happened", he tries to find a way out; 2/11/2016
if we start believing in "if's", then we'll have too many "if's" to complain about, so that we'll be left with no solution to the problem.; 2/11/2016
#isis is emerging swiftly in #afghanistan , #paktia very strong taliban fort is now battlefield for is &amp; taliban. 80 killed in 2 days.; 2/11/2016
rt @sommervillebbc: from aleppo: fatah halab rebel commander, "we feel we were sold to the russians, and that the west abandoned us". https…; 2/11/2016
#exclusive #usa-led helicopters patrolling #iraq|i #syria|n borders while weapons convoy head to #ypg terror group https://t.co/qgi0tl5vcx; 2/11/2016
@jazrawi_aden is this "thing" who is helping general male or female? :))))); 2/11/2016
when those committed 99% of atrocities in #syria fight together the one could be responsible of ~1% of deaths! #isis https://t.co/bggpplbfrb; 2/11/2016
rt @ramiallolah: when those committed 99% of atrocities in #syria fight together the one could be responsible of ~1% of deaths! #isis https…; 2/11/2016
rt @from_2z: مليشيا علي الأكبر التابعة للحرس الثوري تنشر فيديو مقتل أحد عناصرها برصاص قناص في جبال مكحول أمس https://t.co/ajapdmm0io; 2/11/2016
rt @mountzzz_llliio: today in munich...sheikh kerry,al jubeir and snc https://t.co/vjlptd4rqo; 2/11/2016
#iraq|i army helicopter attacked by mistake a group of iraqi army fighters and shiite militants north #ramadi, #isis #aamaq reporting..; 2/11/2016
the war on #isis is fucking exhaustinnnnnnnnnnnnng, zzzzzzzzzzzzzzzz.. #usa #syria #iraq https://t.co/gxjisrzzyd; 2/11/2016
rt @intlspectator: oil rents as share of gdp, 2013  kuwait: 57.5% libya: 44% saudi: 43.6% venezuela: 23.6% qatar: 23.4% iran: 23% russia: 1…; 2/11/2016
is defense gameplay trailer https://t.co/ltjpmqemdl via @youtube they made anti #isis game; 2/11/2016
north #ramadi massive assaults leaves several #iraq troops killed and burning of barracks. captured ramadi or trapped ramadi?; 2/11/2016
rt @oirspox: .@mod_russia's tweets are wrong. furthermore their bombing is reckless and indiscriminate and their efforts are strategically …; 2/11/2016
reports of emergency in #sirte , #isis calling upon troops to move back city asap bases. no one knows wt exactly is going on there????; 2/11/2016
today was a hot abnormal day in in normal winter for #iraq forces in #ramadi , #zobia #ainassad base kilo 60 area. bombing ambushes vbieds; 2/11/2016
the imam al-karrar, khalifah ibrahim honouring the participants of hafidh al-qur'an competition in fallujah  https://t.co/n0oiuoefjl; 2/11/2016
@fidaee_fulaani despite knows his status as "the most wanted man", it didn't stops him to joining the religous program and honoured it.; 2/11/2016
@nasereldawla nope. the one who gave it is the one who sits at the corner in same picture.; 2/11/2016
@nasereldawla this one.   https://t.co/7rkxgpatna; 2/11/2016
@battle_monitor removed; 2/11/2016
@joelwing2 in revenge for 1700 + killed shiia kadets, in battle for "liberation" of tikrit shiias lost 6000-8000 troops. they hide numbers; 2/11/2016
***interview mit sheikh al muhaysini***   teil 1-5 von 10  auf deutsch   https://t.co/peqlhzjkmr https://t.co/iiw3nb6qqq; 2/11/2016
#alhayatmediacenter presents #selected10 ten selected videos from the wilayat of the #isis https://t.co/ldyvsglcuj #caliphate_news; 2/11/2016
#wilayatkarkuk photos from the land of the #caliphate : nature in wilayat karkuk https://t.co/alp6fg2n1v  #caliphate_news; 2/11/2016
#wilayatninawa photos from #mosul city https://t.co/ahyouowkyp  #caliphate_news; 2/11/2016
#wilayatninawa ribat of the #caliphate soldiers at `umar al-faruq village northeast #mosul https://t.co/lec2g4do2s  #caliphate_news; 2/11/2016
#wilayatsalahuddin photos from the land of the #caliphate : repairing jazirat as-siniyyah road https://t.co/dqho8lqkam  #caliphate_news; 2/11/2016
https://t.co/6wwr4luvgb; 2/11/2016
#wilayatsalahuddin photos from the land of the #caliphate : photos from the life of ribat https://t.co/sfim0czagl  #caliphate_news; 2/11/2016
#wilayatsalahuddin targeting #rafida army's vehicles near #samara dam with 23 mm sniping weapon https://t.co/3azqlcaazj  #caliphate_news; 2/11/2016
#wilayathalab photos feature the repelling of a failed breaking attempt by the nusayri army western #kweiris airbase https://t.co/yyjupmd3py; 2/11/2016
#wilayathalab repelling a failed breaking attempt by the #nusayri army western #kweiris airbase https://t.co/yhtr1oe8t0  #caliphate_news; 2/11/2016
